web-scraper-order,web-scraper-start-url,title,title-href,news
"1589216177-253","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","Today Hyatt Hotels Corporation is valued at $5.6 billion. As of 2019, the chain has 913 hotels in different countries of the world."
"1589216222-334","https://financialnews.com/","","https://financialnews.com/news/crypto/bitcoin-price-crashes-below-9000-ahead-of-halving/","According to Rek.to, the volume of liquidations on the popular BitMEX crypto-derivative exchange against the backdrop of a collapse in prices almost reached $300 million."
"1589216135-189","https://financialnews.com/","Small Business Loan Program Reaches 350 Billion Limit","https://financialnews.com/news/small-business-loan-program-runs-out/","The loans provided to these small businesses will be forgiven if the funds are used to pay employees, rent or mortgage."
"1589216123-166","https://financialnews.com/","Craig Wright withdraws lawsuit against Adam Back","https://financialnews.com/news/crypto/craig-wright-withdraws-lawsuit-against-adam-back/","This happened in January, but Beck found out about it just now."
"1589216222-331","https://financialnews.com/","","https://financialnews.com/news/crypto/bitcoin-price-crashes-below-9000-ahead-of-halving/","Today, May 10, the price of the first cryptocurrency suddenly fell below $9,000, breaking the uptrend."
"1589216177-249","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","According to the company’s website, today 11 million people visit restaurants annually."
"1589216186-288","https://financialnews.com/","","https://financialnews.com/news/markets/6-us-companies-that-save-on-dividends-due-to-coronavirus/","Chairman and CEO Sheldon Adelson said the company has temporarily canceled the dividend payment program with a view to longer-term prospects and profits. He also promised investors that the dividend payment program will be resumed as soon as possible."
"1589216177-254","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","The company was founded during the oil embargo recession of 1973 – 1975."
"1589216158-212","https://financialnews.com/","Record levels of US public and corporate debt","https://financialnews.com/news/record-levels-of-us-public-and-corporate-debt/","US public and corporate debt levels have skyrocketed due to the coronavirus pandemic this year. Debt has reached record highs, according to The Washington Post."
"1589216222-336","https://financialnews.com/","","https://financialnews.com/news/crypto/bitcoin-price-crashes-below-9000-ahead-of-halving/","As expected the first cryptocurrency pulled down the rest of the market."
"1589216191-293","https://financialnews.com/","","https://financialnews.com/news/shell-announces-dividend-cut-for-the-first-time-since-wwii/","Shell announces dividend cut for the first time since WWII"
"1589216073-134","https://financialnews.com/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty","https://financialnews.com/news/covid-19/russian-prime-minister-mishustin-infected-with-coronavirus-and-temporarily-relieved-of-duty/","“Without your opinion, without your participation, final decisions will not be made,” Putin said, wishing Mishustin a speedy recovery and asking him to call from the hospital."
"1589216110-158","https://financialnews.com/","North Korea: $1.5 billion in cryptocurrencies to circumvent sanctions","https://financialnews.com/news/crypto/north-korea-1-5-billion-in-cryptocurrencies-to-circumvent-sanctions/","In addition to successful attacks on bitcoin exchanges, North Korean hacker groups also use ransomware and secretly mine coins with increased privacy."
"1589216177-256","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","In 1987, Bill Gates, the founder of the company, at the age of 31 became the youngest billionaire."
"1589216199-310","https://financialnews.com/","","https://financialnews.com/news/markets/demand-for-virtual-babysitting-grows-exponentially-in-us/","For example, one child spent 45 minutes, brought toy food by the camera and pretended to feed his nanny."
"1589216073-139","https://financialnews.com/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty","https://financialnews.com/news/covid-19/russian-prime-minister-mishustin-infected-with-coronavirus-and-temporarily-relieved-of-duty/","A person who, as I know, is constantly being checked, is constantly trying to avoid unnecessary contacts and protect himself from this disease, nevertheless, you see what fact we have."
"1589216186-276","https://financialnews.com/","","https://financialnews.com/news/markets/6-us-companies-that-save-on-dividends-due-to-coronavirus/","Dividends have become an important source of income for investors. Since 1926, 40.2% of the total revenues of S&P 500’s companies are related to dividends. Over the past 12 months, the S&P 500 has reached nearly $500 billion in dividends."
"1589216129-180","https://financialnews.com/","Bitcoin miners mined four blocks in less than a minute on May 1","https://financialnews.com/news/crypto/bitcoin-miners-mined-four-blocks-in-less-than-a-minute/","The upcoming halving of bitcoin will take place at block 630,000. Accelerating the production of new blocks can bring the event closer. But, according to The Halvening, a block reward cut is still planned for May 12th."
"1589216145-193","https://financialnews.com/","6.6 million apply for unemployment  benefits in US","https://financialnews.com/news/goverment-politics/6-6-million-apply-for-unemployment-benefits-in-us/","According to revised data a week earlier, 6.615 million applications were filed, rather than 6.606 million, as originally reported."
"1589216177-269","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","At that time, US GDP fell by 4.3%, and the unemployment rate reached 10%. The recession lasted 18 months."
"1589216177-263","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","This company is a major player in the video game market. EA began operations during the financial crisis of 1981 – 1982."
"1589216150-206","https://financialnews.com/","Some States to Begin Reopening Within A Week","https://financialnews.com/news/states-to-begin-reopening/","Some states have already announced plans to lift restrictions that are currently in place."
"1589216158-213","https://financialnews.com/","Record levels of US public and corporate debt","https://financialnews.com/news/record-levels-of-us-public-and-corporate-debt/","According to forecasts, the federal budget deficit will grow by $4 trillion, making the national debt greater than the entire GDP of the nation. The last time this happened was in the mid 1940’s."
"1589216158-211","https://financialnews.com/","Record levels of US public and corporate debt","https://financialnews.com/news/record-levels-of-us-public-and-corporate-debt/","Record levels of US public and corporate debt"
"1589216177-238","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","The company was founded in 1908 during a recession in the economy."
"1589216067-122","https://financialnews.com/","Is Kim Jong-un dead? China sends a group of doctors to North Korea amid...","https://financialnews.com/news/world/is-kim-jong-un-dead-china-sends-a-group-of-doctors-to-north-korea-amid-rumors-of-dictators-death/","She headed the headquarters of Kim Jong-un, led the North Korean delegation at the 2018 Winter Olympics, and led the DPRK’s propaganda department."
"1589216177-273","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","Initially, the idea of ​​creating a website for renting rooms was not very profitable, but by 2019 the company had already reached a value of $31 billion."
"1589216135-182","https://financialnews.com/","Small Business Loan Program Reaches 350 Billion Limit","https://financialnews.com/news/small-business-loan-program-runs-out/","It’s been just 14 days since small businesses were able to first apply for loans through the $350 billion Paycheck Protection Program (PPP). And it was earlier today that the Small Business Administration (SBA) announced that it had run out of funds; shutting down its application and ceasing the enrollment of new lenders into the program."
"1589216073-127","https://financialnews.com/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty","https://financialnews.com/news/covid-19/russian-prime-minister-mishustin-infected-with-coronavirus-and-temporarily-relieved-of-duty/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty"
"1589216044-106","https://financialnews.com/","China Central Bank lowers key rate","https://financialnews.com/news/world/china-central-bank-lowers-key-rate/","Further negative pressure on the PRC economy is exerted by the further spread of coronavirus, which has disrupted the supply chains around the world and significantly reduced the demand for many products."
"1589216165-221","https://financialnews.com/","","https://financialnews.com/news/markets/netflix-capitalization-reaches-historic-high/","Netflix capitalization reaches historic high"
"1589216158-219","https://financialnews.com/","Record levels of US public and corporate debt","https://financialnews.com/news/record-levels-of-us-public-and-corporate-debt/","The country’s finance minister, Stephen Mnuchin, believes that the deficit will be eliminated in the future, and now it is necessary to provide support to businesses suffering from the epidemic."
"1589216123-167","https://financialnews.com/","Craig Wright withdraws lawsuit against Adam Back","https://financialnews.com/news/crypto/craig-wright-withdraws-lawsuit-against-adam-back/","Earlier, Wright sued not only Beck, but also the founder of Bitcoin.com, Roger Ver, a leading podcast about bitcoin Peter McCormack and a Twitter user under the nickname Hodlonaut. They all claimed that Wright was lying, calling himself the inventor of the world’s first cryptocurrency."
"1589216067-115","https://financialnews.com/","Is Kim Jong-un dead? China sends a group of doctors to North Korea amid...","https://financialnews.com/news/world/is-kim-jong-un-dead-china-sends-a-group-of-doctors-to-north-korea-amid-rumors-of-dictators-death/","The North Korean media, in turn, did not report anything about Kim’s health status and whereabouts, despite much hype in the international press."
"1589216123-170","https://financialnews.com/","Craig Wright withdraws lawsuit against Adam Back","https://financialnews.com/news/crypto/craig-wright-withdraws-lawsuit-against-adam-back/","After the claim was withdrawn, Back expressed surprise that Wright paid his expenses for legal services of RPC company not by 65-75%, as is customary in such cases, but completely by 100%. It cost the entrepreneur about $25 thousand."
"1589216150-201","https://financialnews.com/","Some States to Begin Reopening Within A Week","https://financialnews.com/news/states-to-begin-reopening/","Recently President Trump unveiled guidelines for states that outlined stages for the reopening of businesses. Trumps plan outlines 3 phases; serving as more of a recommendation rather than binding authority that state governments need to follow. The plan also stipulates that before a region considers reopening that there first be a recorded decline of Covid infections within a 14 day period."
"1589216073-136","https://financialnews.com/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty","https://financialnews.com/news/covid-19/russian-prime-minister-mishustin-infected-with-coronavirus-and-temporarily-relieved-of-duty/","A spokesman for the head of government, Boris Belyakov, said that all those who have personally been in contact with Mishustin recently will be isolated and undergo an additional examination. The spokesman did not name specific names, only noting that the prime minister’s personal contacts have been as limited as possible over the past few weeks."
"1589216073-137","https://financialnews.com/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty","https://financialnews.com/news/covid-19/russian-prime-minister-mishustin-infected-with-coronavirus-and-temporarily-relieved-of-duty/","The head of the Cabinet, according to Belyakov, will conduct self-isolation in one of the medical institutions under the supervision of doctors."
"1589216177-258","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","The channel began broadcasting during a recession in the 1980s."
"1589216110-148","https://financialnews.com/","North Korea: $1.5 billion in cryptocurrencies to circumvent sanctions","https://financialnews.com/news/crypto/north-korea-1-5-billion-in-cryptocurrencies-to-circumvent-sanctions/","North Korea: $1.5 billion in cryptocurrencies to circumvent sanctions"
"1589216110-163","https://financialnews.com/","North Korea: $1.5 billion in cryptocurrencies to circumvent sanctions","https://financialnews.com/news/crypto/north-korea-1-5-billion-in-cryptocurrencies-to-circumvent-sanctions/","Recall that the DPRK even organized a conference on blockchain and cryptocurrencies. Announced in February but delayed due to an outbreak of coronavirus, the event led to the ambiguous arrest of Ethereum developer Virgil Griffith and his accusation of violating sanctions."
"1589216073-129","https://financialnews.com/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty","https://financialnews.com/news/covid-19/russian-prime-minister-mishustin-infected-with-coronavirus-and-temporarily-relieved-of-duty/","Russian Prime Minister Mikhail Mishustin fell ill with a coronavirus infection COVID-19 and went into self-isolation. He reported this to President Vladimir Putin."
"1589216129-176","https://financialnews.com/","Bitcoin miners mined four blocks in less than a minute on May 1","https://financialnews.com/news/crypto/bitcoin-miners-mined-four-blocks-in-less-than-a-minute/","Blockchain.com service did not record the growth of the network hash, which as of May 1 was 112.4 EH/s."
"1589216212-320","https://financialnews.com/","","https://financialnews.com/news/crypto/poolin-pool-explain-which-bitcoin-miners-will-become-unprofitable-after-halving/","Poolin expects less than 15% of the hashrate from the lower quartile after halving. The situation for these devices can be worsened by recalculation of complexity in anticipation of halving. The indicator is expected to rise."
"1589216123-168","https://financialnews.com/","Craig Wright withdraws lawsuit against Adam Back","https://financialnews.com/news/crypto/craig-wright-withdraws-lawsuit-against-adam-back/","NChain’s Leading Researcher has filed all of these lawsuits in the UK. Two of them, against Ver and Hodlonaut, were rejected by the court, since both did not live in the country and did not fall under the courts jurisdiction."
"1589216199-303","https://financialnews.com/","","https://financialnews.com/news/markets/demand-for-virtual-babysitting-grows-exponentially-in-us/","In the United States, the demand for virtual baby sitters has sharply increased, which prompted existing companies to train their employees in techniques that help keep children’s attention on the screen."
"1589216186-282","https://financialnews.com/","","https://financialnews.com/news/markets/6-us-companies-that-save-on-dividends-due-to-coronavirus/","The company also announced that it will reduce costs in 2020 to 30% compared to last year amid the coronavirus epidemic."
"1589216067-123","https://financialnews.com/","Is Kim Jong-un dead? China sends a group of doctors to North Korea amid...","https://financialnews.com/news/world/is-kim-jong-un-dead-china-sends-a-group-of-doctors-to-north-korea-amid-rumors-of-dictators-death/","US President Donald Trump questioned reports that North Korean leader Kim Jong-un was in critical condition after undergoing a cardiovascular operation."
"1589216044-102","https://financialnews.com/","China Central Bank lowers key rate","https://financialnews.com/news/world/china-central-bank-lowers-key-rate/","In the previous quarter, from September to December 2019, the Chinese economy grew by 6%. According to the estimates of the National Bureau of Statistics, the decline in GDP in the I quarter compared to the previous one was 9.8%."
"1589216129-174","https://financialnews.com/","Bitcoin miners mined four blocks in less than a minute on May 1","https://financialnews.com/news/crypto/bitcoin-miners-mined-four-blocks-in-less-than-a-minute/","Last night, May 1, Bitcoin miners mined four blocks in just 46 seconds. Normally this would take 40 minutes. Then in an hour, 12 blocks appeared – twice as much as the average figure laid down in the algorithm."
"1589216067-111","https://financialnews.com/","Is Kim Jong-un dead? China sends a group of doctors to North Korea amid...","https://financialnews.com/news/world/is-kim-jong-un-dead-china-sends-a-group-of-doctors-to-north-korea-amid-rumors-of-dictators-death/","Amid conflicting reports about the health of North Korean leader Kim Jong-un, China sent a group of medical experts to the DPRK for consultation, Reuters reports."
"1589216186-291","https://financialnews.com/","","https://financialnews.com/news/markets/6-us-companies-that-save-on-dividends-due-to-coronavirus/","The temporary cancellation of dividends is projected to save companies up to $1.6 billion in 2020. The company also announced the cancellation of the stock repurchase program."
"1589216150-210","https://financialnews.com/","Some States to Begin Reopening Within A Week","https://financialnews.com/news/states-to-begin-reopening/","In the coming days other states are likely to follow with their own plans for reopening."
"1589216073-138","https://financialnews.com/","Russian Prime Minister Mishustin infected with coronavirus and temporarily relieved of duty","https://financialnews.com/news/covid-19/russian-prime-minister-mishustin-infected-with-coronavirus-and-temporarily-relieved-of-duty/","Moscow Mayor Sergei Sobyanin, commenting on the prime minister’s diagnosis, said that Mishustin regularly did tests for coronavirus."
"1589216186-281","https://financialnews.com/","","https://financialnews.com/news/markets/6-us-companies-that-save-on-dividends-due-to-coronavirus/","On April 17, the Schlumberger oilfield services company announced a 75% reduction in dividends from 50 cents to 12.5 cents per share."
"1589216044-104","https://financialnews.com/","China Central Bank lowers key rate","https://financialnews.com/news/world/china-central-bank-lowers-key-rate/","The world’s second largest economy stopped earlier this year when Beijing imposed large-scale restrictions and quarantines to stop the spread of the outbreak of coronavirus that began in Wuhan."
"1589216165-227","https://financialnews.com/","","https://financialnews.com/news/markets/netflix-capitalization-reaches-historic-high/","Analysts believe that streaming services will continue to grow and increase the number of subscribers for a considerable time, as many consumers are now changing their habits and it is streaming that has instantly become a source of high-quality home entertainment instead of closed cinemas."
"1589216186-290","https://financialnews.com/","","https://financialnews.com/news/markets/6-us-companies-that-save-on-dividends-due-to-coronavirus/","General Motors also announced that the company decided to postpone the payment of dividends in order to preserve the funds needed for the company amid the closure of factories. Previously, the company paid dividends of $1.52 per share."
"1589216034-88","https://financialnews.com/","COVID-19 making resurgence in China","https://financialnews.com/news/covid-19/covid-19-making-resurgence-in-china/","On May 7, one local case of infection was detected in Shulan, on May 9 another 11 cases were detected. In accordance with state standards for determining the epidemiological situation, Jilin Province raised the epidemiological threat of Shulan from medium to high."
"1589216158-216","https://financialnews.com/","Record levels of US public and corporate debt","https://financialnews.com/news/record-levels-of-us-public-and-corporate-debt/","According to a professor of economics at Princeton University Atif Mian, American debt can reach a level that has never been matched in modern history."
"1589216199-301","https://financialnews.com/","","https://financialnews.com/news/markets/demand-for-virtual-babysitting-grows-exponentially-in-us/","Demand for virtual babysitting grows exponentially in US"
"1589216135-187","https://financialnews.com/","Small Business Loan Program Reaches 350 Billion Limit","https://financialnews.com/news/small-business-loan-program-runs-out/","The Trump administration has expressed their support for the GOP proposal of an extra $250 billion for the program. But Democrats blocked the bill in Congress; pushing for any bill to include provisions that include funds for hospitals and local governments that are struggling to deal with the coronavirus."
"1589216199-309","https://financialnews.com/","","https://financialnews.com/news/markets/demand-for-virtual-babysitting-grows-exponentially-in-us/","Now each baby sitter on the company’s roster prepares a video session plan in advance based on the age and interests of the child. The nanny offers the child a list of potential activities such as drawing, singing, meditation, Legos or dance among others. Often children have their own ideas and request for the nanny."
"1589216165-233","https://financialnews.com/","","https://financialnews.com/news/markets/netflix-capitalization-reaches-historic-high/","The company also plans to reduce operating costs by 15%."
"1589216067-113","https://financialnews.com/","Is Kim Jong-un dead? China sends a group of doctors to North Korea amid...","https://financialnews.com/news/world/is-kim-jong-un-dead-china-sends-a-group-of-doctors-to-north-korea-amid-rumors-of-dictators-death/","According to Fox News, the state of health of the North Korean leader after recent heart surgery may be worse than many thought."
"1589216158-218","https://financialnews.com/","Record levels of US public and corporate debt","https://financialnews.com/news/record-levels-of-us-public-and-corporate-debt/","In order to somehow support the economy in the context of the spread of coronavirus, the US Federal Reserve lowered its key rate to zero. In addition, the US Federal Reserve added $2 trillion to its portfolio. A similar amount (adjusted for inflation) was added four years after the Great Depression."
"1589216191-299","https://financialnews.com/","","https://financialnews.com/news/shell-announces-dividend-cut-for-the-first-time-since-wwii/","The International Energy Agency (IEA) expects energy demand to fall by 6% this year amid the coronavirus pandemic. In absolute terms, this is the largest decline in the entire history of observations."
"1589216177-246","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","The first restaurant opened in the midst of a recession after the Korean War in the 1950s."
"1589216095-141","https://financialnews.com/","iPhone Vulnerability allows hackers to steal data from default email client...","https://financialnews.com/news/iphone-vulnerability-allows-hackers-to-steal-data-from-default-email-client-in-ios/","The default email client Mail in the iOS operating system allows attackers to steal information, including personal data, used during registration on cryptocurrency exchanges. The vulnerability was discovered by ZecOps cybersecurity company researchers."
"1589216145-191","https://financialnews.com/","6.6 million apply for unemployment  benefits in US","https://financialnews.com/news/goverment-politics/6-6-million-apply-for-unemployment-benefits-in-us/","Americans applied for unemployment benefits in huge numbers for the fourth consecutive week, although the number of applications for benefits last week fell more than expected."
"1589216191-297","https://financialnews.com/","","https://financialnews.com/news/shell-announces-dividend-cut-for-the-first-time-since-wwii/","Shell’s adjusted profit margin for changes in manufacturing costs (CCS) in the first quarter was $2.756 billion, compared with $5.293 billion for the same period in 2019."
"1589216186-286","https://financialnews.com/","","https://financialnews.com/news/markets/6-us-companies-that-save-on-dividends-due-to-coronavirus/","Las Vegas Sands is a corporation owning a network of casinos in Las Vegas."
"1589216095-140","https://financialnews.com/","iPhone Vulnerability allows hackers to steal data from default email client...","https://financialnews.com/news/iphone-vulnerability-allows-hackers-to-steal-data-from-default-email-client-in-ios/","iPhone Vulnerability allows hackers to steal data from default email client in iOS"
"1589216177-244","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","It was during this period that William Hewlett and David Packard decided to create the Hewlett-Packard. The company officially opened on January 1, 1939. HP later became famous thanks to computers and peripherals."
"1589216145-199","https://financialnews.com/","6.6 million apply for unemployment  benefits in US","https://financialnews.com/news/goverment-politics/6-6-million-apply-for-unemployment-benefits-in-us/","According to Morgan Stanley forecasts, US unemployment in the second quarter will reach a record level of 15.7%."
"1589216191-300","https://financialnews.com/","","https://financialnews.com/news/shell-announces-dividend-cut-for-the-first-time-since-wwii/","Shell said last month that it would cut spending by $5 billion to below $20 billion in 2020. The company also suspended its $25 billion share buyback plan amid falling energy prices."
"1589216177-261","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","June 1, 1980 began broadcasting around-the-clock news channel Cable News Network or CNN."
"1589216191-295","https://financialnews.com/","","https://financialnews.com/news/shell-announces-dividend-cut-for-the-first-time-since-wwii/","In Q1 of 2020 the company has reduced earnings by almost 50%."
"1589216129-178","https://financialnews.com/","Bitcoin miners mined four blocks in less than a minute on May 1","https://financialnews.com/news/crypto/bitcoin-miners-mined-four-blocks-in-less-than-a-minute/","Next week there will be another recalculation of mining complexity, which regulates the speed of mining blocks. It is expected that it will not change much (+ 0.19%)."
"1589216191-298","https://financialnews.com/","","https://financialnews.com/news/shell-announces-dividend-cut-for-the-first-time-since-wwii/","The company plans to reduce oil and gas production in the II quarter to 1.75-2.25 million barrels of oil equivalent per day from 2.7 million in the I quarter."
"1589216177-265","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","GDP fell by 3%, while unemployment rose to 10.8%. The recession was aggravated by the crisis in the global economy, which was primarily associated with the crisis in the energy market."
"1589216177-259","https://financialnews.com/","","https://financialnews.com/news/9-successful-companies-created-during-an-economic-crisis/","The Fed raised interest rates in an attempt to stem inflation, which reached 22% in 1980."
"1589216150-203","https://financialnews.com/","Some States to Begin Reopening Within A Week","https://financialnews.com/news/states-to-begin-reopening/","Phase 2 would allow for non-essential travel to resume, as well as allow the re-opening of schools and some bars and restaurants. Social gatherings limit will be up to 50 people. At this stage it is still recommended to adhere to social distancing guidelines."
"1589216135-188","https://financialnews.com/","Small Business Loan Program Reaches 350 Billion Limit","https://financialnews.com/news/small-business-loan-program-runs-out/","It’s been reported that ~5000 banks had made around 1.6 million loans under the program. Major lenders include Wells Fargo, Bank of America, and JPMorgan."
"1589216150-200","https://financialnews.com/","Some States to Begin Reopening Within A Week","https://financialnews.com/news/states-to-begin-reopening/","Some States to Begin Reopening Within A Week"
"1589216165-226","https://financialnews.com/","","https://financialnews.com/news/markets/netflix-capitalization-reaches-historic-high/","Competitors to the service, such as Amazon Prime Video, estimated at 118 million users, and the new Disney streaming service, also benefited from the coronavirus pandemic, due to which the services were able to increase the influx of new users. So, the number of subscribers to the new streaming service Disney Plus, since the launch five months ago, has exceeded 50 million. Disney initially set itself the goal of reaching 60-90 million subscribers by the end of fiscal year 2024. Disney Plus is now outpacing growth."
"1589216199-304","https://financialnews.com/","","https://financialnews.com/news/markets/demand-for-virtual-babysitting-grows-exponentially-in-us/","As the name implies, virtual baby sitting done virtually through a tablet, smartphone or computer with a nanny on is setup with a camera as well as the child to create a session engaging the child with virtual nanny."
"1589216158-215","https://financialnews.com/","Record levels of US public and corporate debt","https://financialnews.com/news/record-levels-of-us-public-and-corporate-debt/","Now businesses are faced with a choice: either dismiss employees, or stop fulfilling their loan obligations. Banks, for their part, demanded that customers repay student loans and “close” credit cards."
